City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
russell,0,AR,1521439200,62,-33.01,-68.8,53.6,3.36
nikolskoye,90,RU,1521439200,93,59.7,30.79,32.0,15.66
souillac,0,FR,1521439200,93,45.6,-0.6,37.4,6.93
qaqortoq,76,GL,1521438600,36,60.72,-46.03,46.4,36.91
ilulissat,0,GL,1521438600,85,69.22,-51.1,15.8,3.36
el sauzal,90,AR,1521439200,93,-24.3,-64.96,60.8,10.29
vaini,0,IN,1521441143,63,15.34,74.49,86.74,3.49
puerto ayora,88,EC,1521441143,100,-0.74,-90.35,77.02,3.71
ketchikan,90,US,1521439560,87,55.34,-131.65,42.8,4.83
lebu,76,ET,1521441144,74,8.96,38.73,58.66,3.83
saskylakh,76,RU,1521441145,75,71.97,114.09,-11.63,19.26
sola,0,FI,1521438600,85,62.78,29.36,24.8,5.82
batagay-alyta,48,RU,1521441146,77,67.8,130.41,-9.02,4.16
tiksi,0,RU,1521441146,58,71.64,128.87,-19.91,4.27
albany,90,US,1521438840,38,42.65,-73.75,24.8,5.82
buala,24,SB,1521441149,100,-8.15,159.59,78.91,2.82
kahului,90,US,1521438960,94,20.89,-156.47,69.8,13.87
kapaa,90,US,1521438960,83,22.08,-159.32,73.4,19.46
port alfred,0,ZA,1521441150,90,-33.59,26.89,67.93,17.36
marsh harbour,0,BS,1521440917,100,26.54,-77.06,71.89,5.61
nyurba,92,RU,1521441151,68,63.29,118.35,9.79,6.51
ust-ishim,88,RU,1521441152,96,57.69,71.17,34.99,17.92
nome,90,US,1521440100,94,30.04,-94.42,71.6,8.05
yeppoon,24,AU,1521439200,49,-23.13,150.74,89.6,9.17
bathsheba,20,BB,1521439200,73,13.22,-59.52,77.0,14.99
codrington,0,AU,1521441154,67,-28.95,153.24,84.31,3.71
cidreira,88,BR,1521441155,96,-30.17,-50.22,73.24,11.65
saint-francois,90,FR,1521439200,86,46.42,3.91,33.8,2.93
clyde river,90,CA,1521439200,69,70.47,-68.59,-13.01,9.17
port-gentil,20,GA,1521439200,94,-0.72,8.78,75.2,6.93
sosnovo-ozerskoye,8,RU,1521441157,81,52.53,111.54,32.2,3.94
cherskiy,20,RU,1521441158,60,68.75,161.3,-6.86,9.19
bredasdorp,20,ZA,1521439200,77,-34.53,20.04,68.0,9.17
rio gallegos,40,AR,1521439200,64,-51.62,-69.22,39.2,10.29
katherine,0,AU,1521439200,46,-14.47,132.26,91.4,8.05
victoria,75,BN,1521439200,79,5.28,115.24,87.8,3.36
brae,92,GB,1521438600,80,60.4,-1.35,39.2,12.75
dabra,8,IN,1521439200,19,25.88,78.33,91.4,4.61
vestmannaeyjar,64,IS,1521441161,93,63.44,-20.27,41.92,10.76
caxito,8,BR,1521441162,100,-22.65,-42.51,69.64,4.94
san isidro,0,PH,1521441164,77,16.74,121.63,85.39,4.38
kavaratti,12,IN,1521441164,100,10.57,72.64,82.51,10.54
svetlogorsk,0,RU,1521439200,60,53.14,59.15,6.8,22.37
busselton,0,AU,1521441165,80,-33.64,115.35,76.57,6.62
dikson,68,RU,1521441166,100,73.51,80.55,-9.47,22.39
thompson,40,CA,1521439200,53,55.74,-97.86,-4.01,2.24
khani,40,GE,1521439200,35,41.96,42.96,69.8,17.22
chuy,0,UY,1521441168,90,-33.69,-53.46,63.43,22.06
tuktoyaktuk,56,CA,1521439200,84,69.44,-133.03,-7.61,10.29
mar del plata,0,AR,1521441079,57,-46.43,-67.52,57.94,24.07
bellegarde-sur-valserine,75,FR,1521439200,100,46.11,5.83,35.6,2.71
esperance,20,TT,1521435600,88,10.24,-61.45,71.6,5.5
madinat sittah uktubar,0,EG,1521437400,26,29.82,31.05,71.6,4.7
sitka,88,US,1521441171,91,37.17,-99.65,51.37,13.78
mackay,1,CA,1521439200,92,53.65,-115.58,24.8,4.7
tornio,75,FI,1521438600,86,61.12,27.27,32.0,10.29
dunedin,0,NZ,1521441172,57,-45.87,170.5,70.27,11.77
port lincoln,76,AU,1521441172,82,-34.72,135.86,69.1,15.23
kungurtug,0,RU,1521441173,59,50.6,97.53,35.62,3.38
bilibino,44,RU,1521441173,64,68.06,166.44,-4.7,6.17
faanui,68,PF,1521441174,100,-16.48,-151.75,82.24,16.58
kangaatsiaq,12,GL,1521441174,91,68.31,-53.46,14.02,6.62
paamiut,12,GL,1521441175,71,61.99,-49.67,37.06,6.4
saint-augustin,92,FR,1521439200,100,44.83,-0.61,39.2,5.82
bambous virieux,75,MU,1521439200,83,-20.34,57.76,82.4,14.99
lazaro cardenas,32,MX,1521441177,18,28.39,-105.62,57.85,8.41
port hedland,0,AU,1521439200,15,-20.31,118.58,109.4,16.11
kaitangata,12,NZ,1521441177,53,-46.28,169.85,73.42,13.0
avarua,64,CK,1521441178,100,-21.21,-159.78,81.52,7.63
shiyan,88,CN,1521440900,85,32.65,110.78,47.5,3.04
saint george,20,GR,1521438600,76,39.45,22.34,50.0,3.36
arraial do cabo,12,BR,1521441179,99,-22.97,-42.02,76.39,14.56
otradnoye,90,RU,1521439200,93,59.77,30.8,32.0,15.66
mogadishu,75,SO,1521439200,79,2.04,45.34,86.0,13.87
sisauli,8,IN,1521441181,50,29.42,77.47,81.7,4.61
beirut,40,LB,1521439200,28,33.9,35.48,73.4,2.24
aklavik,90,CA,1521439200,77,68.22,-135.01,-0.41,6.93
bethel,90,US,1521439200,92,60.79,-161.76,32.0,10.29
beringovskiy,80,RU,1521441183,90,63.05,179.32,9.43,24.07
bereda,75,ES,1521439200,81,43.27,-7.54,46.4,13.87
khatanga,56,RU,1521441185,84,71.98,102.47,-9.29,11.21
berlevag,90,NO,1521438600,92,70.86,29.09,23.0,29.97
haines junction,0,CA,1521441186,73,60.75,-137.51,9.7,2.04
sao filipe,0,CV,1521441187,94,14.9,-24.5,70.45,16.02
isla mujeres,20,MX,1521438300,88,21.23,-86.73,77.0,6.93
sao jose da coroa grande,100,BR,1521441188,94,-8.9,-35.15,75.58,3.6
bilma,0,NE,1521441189,32,18.69,12.92,58.3,2.93
faenza,75,IT,1521438900,86,44.29,11.88,42.8,12.75
vizinga,68,RU,1521441190,73,61.08,50.08,9.97,12.44
santa isabel do rio negro,44,BR,1521441191,82,-0.41,-65.02,79.36,5.73
balacita,90,RO,1521439200,85,44.38,23.13,24.8,16.11
luena,76,AO,1521441192,100,-11.78,19.91,63.61,3.6
patitirion,20,GR,1521438600,71,39.15,23.87,55.4,8.19
olga,1,US,1521439080,66,34.11,-118.17,57.2,2.15
santa fe,0,AR,1521441194,85,-31.62,-60.7,52.72,5.39
zeya,20,RU,1521441194,37,53.74,127.27,14.56,7.96
westport,75,IE,1521439200,100,53.8,-9.52,30.2,9.17
khasan,0,RU,1521441195,66,42.43,130.64,35.44,12.88
alice springs,12,AU,1521439200,21,-23.7,133.88,91.4,14.99
beaucaire,0,FR,1521439200,69,43.81,4.64,44.6,6.93
luancheng,0,CN,1521439200,33,37.88,114.65,59.0,8.95
tasiilaq,92,GL,1521438600,95,65.61,-37.64,32.0,15.23
zapolyarnyy,40,RU,1521438600,85,69.43,30.82,21.2,14.99
kochi,20,IN,1521439200,62,9.96,76.25,89.6,5.82
hithadhoo,88,MV,1521441198,98,-0.6,73.08,85.3,10.42
porto uniao,8,BR,1521441199,91,-26.24,-51.08,65.59,2.04
ajuchitlan,0,MX,1521441199,42,20.72,-100.02,48.58,3.83
dingle,20,PH,1521441200,64,11.0,122.67,87.1,12.77
fairbanks,90,US,1521439080,92,64.84,-147.72,26.6,2.71
airai,36,TL,1521441201,95,-8.93,125.41,76.39,0.92
port elizabeth,1,US,1521438900,69,39.31,-74.98,37.4,5.82
quesnel,1,CA,1521439200,92,52.98,-122.49,28.4,1.36
tafalla,40,ES,1521439200,80,42.53,-1.67,39.2,3.36
kvarkeno,0,RU,1521441203,75,52.08,59.73,12.85,16.91
yellowknife,75,CA,1521439200,62,62.45,-114.38,21.2,13.87
friesoythe,0,DE,1521438600,57,53.02,7.86,24.8,11.41
saint-philippe,1,CA,1521440100,43,45.36,-73.48,12.2,6.93
biskamzha,0,RU,1521441204,69,53.45,89.53,39.94,2.82
san luis,0,AR,1521440957,46,-33.3,-66.34,45.88,3.6
la peca,48,PE,1521441206,95,-5.61,-78.44,62.17,1.14
le port,0,FR,1521441207,74,42.87,1.37,5.74,1.7
carutapera,80,BR,1521441208,88,-1.2,-46.02,79.45,5.84
abu samrah,0,SY,1521441209,52,35.3,37.18,60.64,2.71
honiara,75,SB,1521439200,79,-9.43,159.96,84.2,6.93
anadyr,90,RU,1521439200,84,64.73,177.51,1.4,11.18
moose factory,90,CA,1521439200,83,51.26,-80.61,-4.01,4.7
nelson bay,0,AU,1521437400,61,-32.72,152.14,82.4,10.29
geraldton,5,CA,1521439200,63,49.72,-86.95,-7.61,2.24
mandalgovi,8,MN,1521441213,76,45.76,106.27,43.99,8.75
sept-iles,75,CA,1521439200,48,50.2,-66.38,17.6,9.17
tuatapere,68,NZ,1521441214,82,-46.13,167.69,66.4,15.23
narasannapeta,0,IN,1521441215,39,18.42,84.04,95.38,4.94
kez,0,RU,1521441215,70,57.9,53.72,0.97,15.35
kroya,0,ID,1521441216,87,-6.5,108.06,83.77,2.59
hegra,75,NO,1521438600,86,63.46,11.11,33.8,16.11
chateaubelair,20,VC,1521439200,74,13.28,-61.25,78.8,16.11
hatillo,68,PR,1521441218,100,18.49,-66.83,72.97,1.92
provideniya,68,RU,1521441219,99,64.42,-173.23,25.0,10.2
ulladulla,0,AU,1521439200,7,-35.36,150.48,89.6,16.11
samarai,92,PG,1521441220,100,-10.62,150.67,78.82,7.4
galeana,0,MX,1521441220,57,24.83,-100.08,45.52,3.38
salinopolis,80,BR,1521441221,100,-0.61,-47.36,80.26,9.42
portland,20,US,1521440220,87,45.52,-122.67,44.6,6.93
matamoros,90,US,1521440100,94,25.87,-97.51,75.2,13.87
sabang,92,PH,1521441222,94,13.72,123.58,79.54,6.96
tadotsu,75,JP,1521440340,100,34.27,133.75,55.4,4.7
cabo san lucas,5,MX,1521438060,72,22.89,-109.91,64.4,8.05
faya,0,SA,1521439200,26,18.39,42.45,71.6,9.17
saint-gaudens,75,FR,1521439200,93,43.11,0.72,35.6,4.7
raudeberg,75,NO,1521438600,93,61.99,5.14,41.0,20.8
zhigansk,32,RU,1521441228,36,66.77,123.37,-10.28,7.4
mabaruma,0,GY,1521441228,90,8.2,-59.78,74.32,6.17
lesnyye polyany,0,RU,1521439200,66,55.97,37.87,15.8,11.18
mnogovershinnyy,32,RU,1521441230,44,53.94,139.92,8.17,9.08
matou,92,CN,1521441230,100,23.33,107.58,69.46,4.16
hofn,0,IS,1521441231,98,64.25,-15.21,36.16,10.2
karibib,68,NA,1521441231,98,-21.94,15.86,65.5,4.16
vila velha,40,BR,1521439200,83,-3.71,-38.6,80.6,4.7
puerto baquerizo moreno,20,EC,1521441232,100,-0.9,-89.6,79.09,2.37
bowen,90,AU,1521439200,78,-20.01,148.25,82.4,17.22
avera,90,US,1521438900,72,33.19,-82.53,60.8,4.7
kysyl-syr,56,RU,1521441234,59,63.9,122.77,-1.73,5.95
lata,0,IN,1521441235,55,30.78,78.62,59.56,1.92
forrest city,76,US,1521440100,93,35.01,-90.79,50.0,5.61
kudahuvadhoo,0,MV,1521441237,100,2.67,72.89,84.58,11.54
hamilton,40,BM,1521438900,72,32.3,-64.78,62.6,11.41
lompoc,1,US,1521439080,87,34.64,-120.46,46.4,3.71
surok,68,PH,1521441239,90,11.63,125.42,80.98,7.18
touros,88,BR,1521441240,83,-5.2,-35.46,80.89,7.74
aquin,76,HT,1521441240,100,18.28,-73.39,75.94,7.96
tautira,75,PF,1521441000,78,-17.73,-149.15,77.0,6.93
athabasca,0,CA,1521441241,66,54.72,-113.29,11.5,6.96
flinders,0,AU,1521439200,7,-34.58,150.85,89.6,16.11
jamestown,0,AU,1521441242,46,-33.21,138.6,74.32,11.21
saint-pierre,90,FR,1521439200,92,48.95,4.24,30.2,4.7
hamada,75,JP,1521439200,100,34.9,132.08,55.4,8.05
hammond,90,US,1521439740,100,30.5,-90.46,71.6,3.36
seoul,90,KR,1521439200,53,37.57,126.98,51.8,9.17
kavieng,88,PG,1521441246,100,-2.57,150.8,83.86,11.77
cabedelo,20,BR,1521435600,88,-6.97,-34.84,73.4,6.51
kristianstad,0,SE,1521438600,92,56.03,14.16,15.8,2.24
sangueya,20,GN,1521441248,95,10.7,-14.37,68.47,2.71
mahebourg,75,MU,1521439200,83,-20.41,57.7,82.4,14.99
torrington,90,US,1521438780,74,42.06,-104.18,33.8,17.22
berdigestyakh,20,RU,1521441250,48,62.1,126.7,2.14,4.61
estepa,0,ES,1521439200,93,37.29,-4.88,46.4,5.82
bira,36,RU,1521441250,35,49.0,132.47,15.73,8.19
sobolevo,32,RU,1521441251,75,54.43,31.9,11.5,12.21
vysokovsk,0,RU,1521439200,66,56.32,36.55,15.8,11.18
boddam,0,GB,1521438600,86,57.47,-1.78,28.4,9.17
carnarvon,0,ZA,1521441242,58,-30.97,22.13,50.74,2.59
rantepao,32,ID,1521441253,77,-2.97,119.9,79.99,2.37
humaita,90,AR,1521439200,100,-24.93,-65.37,60.8,3.36
kanye,68,BW,1521441254,78,-24.98,25.34,65.32,10.65
gizo,0,IL,1521438600,40,31.8,34.94,69.8,1.12
tashla,0,RU,1521439200,65,53.71,49.75,3.2,4.47
dehui,0,CN,1521439200,23,44.53,125.71,30.2,11.18
venado tuerto,0,AR,1521441257,63,-33.75,-61.97,49.93,5.95
tommot,8,RU,1521441257,43,58.97,126.27,7.72,5.06
luderitz,0,NA,1521435600,82,-26.65,15.16,55.4,10.29
caravelas,76,BR,1521441258,100,-17.73,-39.27,81.34,13.11
rognan,75,NO,1521438600,89,67.1,15.4,33.8,24.16
trairi,44,BR,1521441260,100,-3.28,-39.27,82.06,12.1
tabas,68,IR,1521441229,100,33.6,56.92,48.49,4.16
jinka,44,ET,1521441261,79,5.79,36.57,69.46,2.15
ponta do sol,44,BR,1521441230,87,-20.63,-46.0,63.79,3.38
opuwo,44,NA,1521441264,88,-18.06,13.84,63.25,1.36
inhambane,0,MZ,1521441265,92,-23.87,35.38,78.1,9.08
mananjary,88,MG,1521441265,100,-19.16,46.8,64.06,4.61
at-bashi,76,KG,1521441265,79,41.17,75.81,33.64,2.71
husavik,48,CA,1521441266,86,50.56,-96.99,20.32,9.98
severo-yeniseyskiy,24,RU,1521441267,54,60.37,93.04,35.44,6.4
deputatskiy,0,RU,1521441267,76,69.3,139.9,-12.71,3.83
palestina,75,EC,1521439200,83,-1.63,-79.98,78.8,5.82
pangody,88,RU,1521441268,84,65.85,74.49,2.77,13.89
te anau,80,NZ,1521441269,83,-45.41,167.72,62.08,16.46
camacha,40,PT,1521439200,87,33.08,-16.33,60.8,11.41
kil,0,SE,1521438600,79,59.5,13.32,24.8,6.93
minab,20,IR,1521439200,57,27.15,57.07,77.0,13.87
pathein,0,MM,1521441271,50,16.78,94.73,93.31,7.74
ribeira brava,20,PT,1521439200,77,32.65,-17.07,59.0,4.7
talnakh,56,RU,1521441272,89,69.49,88.39,1.42,14.34
goure,0,NE,1521441272,27,13.98,10.27,63.16,5.95
birjand,90,IR,1521439200,87,32.86,59.22,44.6,4.16
bahadurganj,0,IN,1521441273,35,26.26,87.82,88.09,6.62
zigong,24,CN,1521441273,100,29.34,104.78,63.52,4.72
palembang,12,ID,1521441274,82,-2.99,104.76,89.71,4.16
vangaindrano,92,MG,1521441275,100,-23.35,47.6,72.97,7.63
lakes entrance,0,AU,1521441088,55,-37.88,147.99,77.29,8.41
camalu,32,MX,1521441276,97,30.85,-116.07,44.8,4.61
pitmoaga,32,BF,1521439200,54,12.24,-1.88,80.6,1.12
kununurra,40,AU,1521439200,63,-15.77,128.74,91.4,6.93
sorland,40,NO,1521438600,69,67.67,12.69,37.4,34.45
kodiak,90,US,1521438780,86,39.95,-94.76,41.0,5.82
pangoa,20,PE,1521441278,92,-12.12,-73.0,61.27,1.7
lorengau,32,PG,1521441279,100,-2.02,147.27,82.06,11.99
taoudenni,0,ML,1521441279,29,22.68,-3.98,49.84,2.71
danielskuil,8,ZA,1521441280,85,-28.19,23.54,62.98,14.79
karpathos,40,GR,1521438600,87,35.51,27.21,60.8,11.65
quelimane,75,MZ,1521439200,88,-17.88,36.89,77.0,12.75
iqaluit,20,CA,1521439200,71,63.75,-68.52,6.8,8.05
beruwala,0,LK,1521441282,100,6.48,79.98,82.06,1.92
muravlenko,88,RU,1521441283,95,63.79,74.5,27.79,13.56
narsaq,20,GL,1521438600,36,60.91,-46.05,46.4,36.91
roma,75,IT,1521438900,81,41.89,12.48,51.8,8.05
margate,75,AU,1521438240,42,-43.03,147.26,62.6,18.34
gazojak,0,TM,1521441285,87,41.19,61.4,51.73,5.17
kieta,88,PG,1521441228,100,-6.22,155.63,80.62,6.62
tomigusuku,40,JP,1521439200,64,26.18,127.67,77.0,12.75
katrineholm,0,SE,1521438600,63,59.0,16.21,28.4,13.87
ahipara,44,NZ,1521441287,81,-35.17,173.16,70.63,15.35
evensk,56,RU,1521441287,100,61.92,159.24,12.76,4.61
inuvik,90,CA,1521439200,77,68.36,-133.71,-0.41,6.93
malanje,88,AO,1521441288,97,-9.54,16.35,65.77,3.6
yulara,0,AU,1521439200,16,-25.24,130.99,95.0,11.41
polovinnoye,24,RU,1521441289,86,54.79,65.99,16.09,28.21
longyearbyen,20,NO,1521438600,65,78.22,15.63,3.2,20.8
broome,40,GB,1521438960,79,52.47,1.45,32.0,17.22
moranbah,44,AU,1521441047,48,-22.0,148.04,90.61,11.65
nara,75,JP,1521439200,72,34.68,135.8,62.6,4.7
lagoa,0,PT,1521439200,93,37.14,-8.45,50.0,5.82
labuhan,44,ID,1521441292,69,-2.54,115.51,87.01,2.37
sao joao da barra,0,BR,1521441292,98,-21.64,-41.05,79.81,18.03
xichang,48,CN,1521441293,38,27.88,102.25,57.67,2.04
vardo,1,US,1521440100,44,39.62,-77.74,42.8,3.94
vila franca do campo,75,PT,1521439200,100,37.72,-25.43,60.8,10.29
puerto carreno,24,CO,1521441294,78,6.19,-67.49,73.24,1.59
san juan,20,PR,1521438960,83,18.47,-66.12,75.2,4.7
klaksvik,92,FO,1521438600,75,62.23,-6.59,41.0,12.75
upington,0,ZA,1521439200,20,-28.46,21.24,66.2,4.7
lasa,0,CY,1521439200,52,34.92,32.53,69.8,4.7
skegness,75,GB,1521438600,100,53.14,0.34,33.8,13.87
salta,90,AR,1521439200,100,-24.79,-65.41,60.8,3.36
bubaque,20,GW,1521439200,88,11.28,-15.83,71.6,6.93
sosva,44,RU,1521441299,51,59.17,61.86,8.35,10.98
penzance,90,GB,1521438600,86,50.12,-5.53,30.2,16.11
tay ninh,8,VN,1521441300,72,11.3,106.1,89.62,4.94
santiago del estero,0,AR,1521441017,56,-27.8,-64.26,65.05,5.61
nusaybin,0,TR,1521439200,42,37.08,41.21,64.4,5.82
panjab,44,AF,1521441302,96,34.38,67.02,34.18,2.82
choma,68,ZM,1521441302,89,-16.81,26.98,66.04,6.85
riyadh,0,SA,1521439200,18,24.63,46.72,75.2,3.36
rocha,32,UY,1521441303,87,-34.48,-54.34,59.02,16.02
nangomba,0,TZ,1521441304,82,-10.9,38.52,80.89,5.61
pangkalanbuun,48,ID,1521441304,88,-2.68,111.62,87.73,3.71
gazli,24,UZ,1521441305,90,40.13,63.45,53.62,4.72
luanda,75,AO,1521439200,88,-8.83,13.24,77.0,8.05
shingu,75,JP,1521439200,77,33.72,135.99,62.6,9.17
fortuna,0,ES,1521439200,70,38.18,-1.13,48.2,5.82
talakan,44,RU,1521441307,37,50.29,130.28,15.64,12.66
znamenskoye,92,RU,1521441307,94,57.13,73.82,33.82,23.17
arawa,20,NG,1521441308,95,7.05,3.9,74.5,3.6
vanimo,0,PG,1521441309,99,-2.67,141.3,83.59,19.26
gaspe,75,CA,1521439200,62,48.83,-64.48,19.4,14.99
hagondange,90,FR,1521439200,79,49.25,6.17,28.4,14.99
ixtapa,5,MX,1521438000,100,20.71,-105.21,68.0,1.92
srednekolymsk,44,RU,1521441310,39,67.46,153.71,-12.08,6.4
cagliari,90,IT,1521438900,92,46.38,10.88,42.8,20.8
constitucion,0,MX,1521441311,42,23.99,-104.67,48.85,6.73
shimoda,75,JP,1521439200,68,34.7,138.93,64.4,16.11
sri aman,75,MY,1521439200,70,1.24,111.46,89.6,5.82
the valley,20,AI,1521439200,78,18.22,-63.06,77.0,3.36
nador,75,MA,1521439200,76,35.17,-2.93,57.2,11.41
mizdah,0,LY,1521441314,28,31.45,12.98,56.77,13.67
araouane,8,ML,1521441314,23,18.9,-3.53,57.67,7.85
missoula,90,US,1521438780,83,46.87,-114.0,35.6,1.92
sault sainte marie,1,CA,1521439200,34,46.49,-84.36,21.2,8.05
mpulungu,36,ZM,1521441316,96,-8.77,31.12,65.68,3.83
bukoba,76,TZ,1521441316,100,-1.33,31.81,67.75,7.96
mancheral,12,IN,1521441222,53,18.87,79.43,90.07,4.61
ostrovnoy,76,RU,1521441317,94,68.05,39.51,10.96,18.37
celmira,0,PA,1521441318,97,8.54,-82.8,73.78,2.71
kutum,0,SD,1521441318,18,14.2,24.66,64.15,7.18
namibe,88,AO,1521441319,100,-15.19,12.15,76.84,3.15
laguna,0,MX,1521441319,60,27.52,-110.01,58.57,3.04
sisimiut,36,GL,1521441320,78,66.94,-53.67,6.37,2.04
nanortalik,0,GL,1521441321,84,60.14,-45.24,35.26,50.13
katangli,64,RU,1521441321,94,51.71,143.23,13.57,23.96
tabat,12,ID,1521441322,60,-2.64,115.23,91.42,2.15
ahuimanu,90,US,1521439020,78,21.44,-157.84,75.2,10.29
bay saint louis,75,US,1521440160,94,30.31,-89.33,69.8,4.7
praia da vitoria,20,PT,1521435600,93,38.73,-27.07,59.0,9.64
kumo,0,NG,1521441324,57,10.05,11.21,64.15,4.38
conakry,40,GN,1521435600,88,9.52,-13.7,77.0,5.06
prince rupert,90,CA,1521439560,87,54.32,-130.32,42.8,2.24
vryburg,48,ZA,1521441325,87,-26.96,24.73,63.79,11.77
ambon,0,FR,1521439200,100,47.55,-2.56,26.6,4.7
lethem,0,GY,1521441327,60,3.38,-59.8,79.45,12.77
abha,0,SA,1521439200,26,18.22,42.5,71.6,9.17
pravda,56,BG,1521439200,92,43.16,25.69,30.2,4.7
heanor,90,GB,1521438600,68,53.01,-1.36,33.8,19.46
qalyub,0,EG,1521437400,26,30.18,31.21,71.6,4.7
concepcion,80,CO,1521441329,98,9.56,-73.66,72.88,1.7
kalmunai,20,LK,1521441330,79,7.42,81.82,85.39,7.74
jalu,0,LY,1521441300,64,29.03,21.55,55.42,2.93
port augusta,36,AU,1521439200,60,-32.49,137.76,71.6,12.75
chapleau,8,CA,1521441331,71,47.85,-83.4,0.52,4.83
shelburne,1,CA,1521439200,41,44.08,-80.2,28.4,8.05
itupiranga,40,BR,1521439200,100,-5.13,-49.33,77.0,6.29
yerbogachen,92,RU,1521441333,78,61.28,108.01,31.3,7.4
upernavik,48,GL,1521441333,99,72.79,-56.15,1.87,17.69
puerto escondido,0,MX,1521441334,100,15.86,-97.07,80.8,12.33
kamenka,0,RU,1521441334,63,53.19,44.05,0.34,4.27
guerrero negro,20,MX,1521441326,97,27.97,-114.04,55.51,13.0
kabinda,92,CD,1521441335,96,-6.14,24.49,68.83,4.61
neiafu,75,TO,1521439200,74,-18.65,-173.98,82.4,3.36
cayenne,90,GF,1521441000,94,4.94,-52.33,77.0,5.82
tongren,92,CN,1521441337,100,27.72,109.18,44.8,7.29
smithers,90,CA,1521439200,48,54.78,-127.17,42.8,3.36
ust-nera,8,RU,1521441339,68,64.57,143.24,-3.53,2.59
bull savanna,0,JM,1521441339,94,17.89,-77.59,65.86,2.37
kenai,90,US,1521438960,100,60.55,-151.26,35.6,6.93
poddorye,24,RU,1521441340,82,57.47,31.12,22.57,16.24
kokopo,32,PG,1521441340,100,-4.34,152.27,80.17,10.42
mount gambier,92,AU,1521441341,71,-37.83,140.78,67.03,10.76
port dickson,75,MY,1521439200,63,2.52,101.79,93.2,5.82
nizhniy tsasuchey,0,RU,1521441342,84,50.52,115.13,39.94,4.72
polignano a mare,20,IT,1521438900,87,41.0,17.22,48.2,2.24
